# t	<x>	<p>	C(t)
36.6	8.103009974690147	(-0.21821415073715694-0.15512789488035064j)	0.5067784086587288
36.800000000000004	7.4850044444851145	(0.39083292964249755+0.5559580573331264j)	0.5067784086587289
37.0	7.345516833924726	(-0.3641392937613425+0.8654320938488942j)	0.5067784086587291
37.2	8.00266557416564	(0.21921626212279877-0.8358347667019707j)	0.5067784086587293
37.4	7.5361216063384555	(-1.0055828401696563+1.2253927145106367j)	0.5067784086587293
37.6	7.646134256109133	(0.6536780685970172+0.4974174688690385j)	0.5067784086587295
37.800000000000004	7.704027633213169	(0.8866044597674313-0.45701893827416473j)	0.5067784086587296
38.0	8.01673989892971	(-1.9791259260390042+3.396239448410639j)	0.5067784086587297
38.2	8.054611351245866	(0.7855374577444039+1.5457259840281026j)	0.5067784086587298
38.400000000000006	7.598485489486711	(-0.011420232754348936+1.2545554812690525j)	0.50677840865873
38.6	7.707633093673201	(-0.4321101874884316+0.2382181684807959j)	0.5067784086587303
38.800000000000004	7.823886147919739	(-1.556442474018201+0.15696704637054806j)	0.5067784086587303
39.0	7.452662905237677	(-0.10157489537822678+0.12534053034232842j)	0.5067784086587304
39.2	7.7422421184905605	(2.585440344407029-2.5224240399183016j)	0.5067784086587306
39.400000000000006	7.910193098766912	(-2.681315980047414-0.35799690933542916j)	0.5067784086587308
39.6	8.011043470357437	(-0.8707589599926162+0.33884671016722495j)	0.5067784086587308
39.800000000000004	7.5166995076055985	(1.071016704655694+0.8855133310030617j)	0.5067784086587309
40.0	8.158813658610846	(-0.22377034926138276+0.3371072333255698j)	0.5067784086587309
40.2	8.190518769622901	(2.7706972579833042+1.1335257014319597j)	0.5067784086587312
40.400000000000006	7.858816766022605	(3.3375563215966713-0.2559380176054762j)	0.5067784086587312
40.6	7.844138067327092	(-0.11044223987871317-0.4788382060437774j)	0.5067784086587314
40.800000000000004	7.7966619562488	(1.469425310897499-0.9510395674985443j)	0.5067784086587315
41.0	7.940532363402862	(-0.18582015059403906-0.0673159700918518j)	0.5067784086587316
41.2	7.8437561145385635	(1.275119226860127+0.29331687250958216j)	0.5067784086587318
41.400000000000006	8.04970624238915	(1.8793086987287004-0.42706791275498146j)	0.5067784086587318
41.6	8.0407754698132	(-1.009726784175116+0.2901728315862107j)	0.5067784086587318
41.800000000000004	8.476889263982256	(-2.9047247948641934+4.284185986207021j)	0.506778408658732
42.0	8.501957240599994	(0.2624864314984965+0.916474311260887j)	0.5067784086587321
42.2	8.055112753711514	(2.719526204556062-1.6887872659230012j)	0.5067784086587321
42.400000000000006	8.455429896113591	(0.10893069415252803-0.6445061259983786j)	0.5067784086587324
42.6	8.293539275623582	(0.4524854594850131+1.4425832822823539j)	0.5067784086587325
42.800000000000004	8.168040398651522	(-0.5566029773419522+0.20178583527840116j)	0.5067784086587326
43.0	8.828892080529583	(0.4662531101274166+0.0983772160114179j)	0.5067784086587328
43.2	8.102903650935943	(-2.568803934057268+6.799661473697099j)	0.506778408658733
43.400000000000006	8.118667550603334	(-1.0534476006313291-0.6252739825501571j)	0.5067784086587331
43.6	8.09070101137093	(0.02369958463860307+0.38389870321309705j)	0.5067784086587332
43.800000000000004	8.25628321486309	(-0.2891816151792491-0.29469795221331885j)	0.5067784086587334
44.0	8.53958421436095	(1.5721157360880023+0.7223435989617689j)	0.5067784086587336
44.2	8.477097254143144	(0.7287259020583776-1.1728572931385661j)	0.5067784086587336
44.400000000000006	8.763274157382194	(-0.3849593299668089+0.08776924798867922j)	0.5067784086587338
44.6	8.067250578962827	(-2.4810921999566373-0.06598442157142655j)	0.5067784086587339
44.800000000000004	8.236211158070887	(-0.4408416436818792-1.1233196629236424j)	0.506778408658734
45.0	8.418485548533264	(1.4741159912962467+1.2333909329455077j)	0.5067784086587342
45.2	8.30583152573316	(-0.21437764757404232-0.8908748762526126j)	0.5067784086587344
45.400000000000006	8.426468975937109	(0.8754786100092553+1.3363266312046151j)	0.5067784086587346
45.6	8.071304250355665	(0.1919928139755569+2.6464298117241523j)	0.5067784086587347
45.800000000000004	8.621535506056345	(0.8415433058426626-1.0073098770894007j)	0.5067784086587348
46.0	8.333157895670897	(-0.19612663886124962-1.3464871430530179j)	0.506778408658735
46.2	8.389684249833072	(-0.5675788774187275+1.64991141314811j)	0.5067784086587351
46.400000000000006	8.639851843500937	(0.29736689347346-0.9676661020278722j)	0.5067784086587352
46.6	8.104780469441218	(-0.34092474454329924+0.13788819497430788j)	0.5067784086587355
46.800000000000004	8.515034315093057	(-0.5728878715741421-1.7474665085886993j)	0.5067784086587356
47.0	8.648922476841301	(2.6122639122160245-0.5437609451169474j)	0.5067784086587357
47.2	8.060212365665086	(-0.15909625347578715+0.19332091108633664j)	0.5067784086587359
47.400000000000006	8.466164363920118	(-0.3401897578330755+0.8965689873802005j)	0.506778408658736
47.6	8.624160429099565	(0.6022202928190709+1.4496296140694533j)	0.5067784086587361
47.800000000000004	8.368960401753883	(1.2601220860179452-1.8948694914450508j)	0.5067784086587362
48.0	8.425577438771409	(-0.6227355305749722-0.8982442298878688j)	0.5067784086587364
48.2	8.372306946867281	(-0.6184013050238995+1.1392878399403845j)	0.5067784086587366
48.400000000000006	8.395438854223254	(-0.7803255756294064+2.087716960202482j)	0.5067784086587367
48.6	8.654869431263187	(0.36212461032171855-0.7401241613479297j)	0.5067784086587369
48.800000000000004	8.69008101397343	(1.3455202102942432+1.6952127337690344j)	0.506778408658737
49.0	8.218356263999707	(-2.110782807348123-1.4246878361908404j)	0.5067784086587372
49.2	8.470536921486483	(0.9797268550543796+0.5972412471866411j)	0.5067784086587374
49.400000000000006	8.583023131723875	(2.487036089923069+1.8069154015160243j)	0.5067784086587376
49.6	8.446158933253272	(0.6435627560648465+0.1536707235774693j)	0.5067784086587377
49.800000000000004	8.46985815133335	(-0.5843780097524262-0.998216489428518j)	0.5067784086587378
50.0	8.9544222751325	(0.14893244834514352-1.1298365073544345j)	0.506778408658738
50.2	8.40796914843365	(-1.702136214586736-1.0508853969337781j)	0.506778408658738
50.400000000000006	8.838115510482506	(2.276260793584103+2.7689224847454867j)	0.5067784086587382
50.6	9.063171887910364	(-1.8620374264922883+0.3301659961908763j)	0.5067784086587382
50.800000000000004	8.558766819237967	(-3.30544941634197-1.3554369115466742j)	0.5067784086587385
51.0	8.478775440482245	(0.4540593476834076-0.08499826666373171j)	0.5067784086587386
51.2	8.829343102225508	(-0.8465443557124698+0.8632089389765041j)	0.5067784086587387
51.400000000000006	8.837653337686499	(-2.0180009121691485+2.9598005742587548j)	0.5067784086587389
51.6	8.914687200887958	(0.6602454362969901-0.7248221891261672j)	0.5067784086587389
51.800000000000004	8.85469701041751	(-1.7685867648813813+7.5172200836661j)	0.506778408658739
52.0	8.598553475120724	(0.19663358407713075-0.8176831996838247j)	0.5067784086587392
52.2	9.047962882845832	(0.868790795196092-0.46536120759025795j)	0.5067784086587394
52.400000000000006	9.044569416867805	(-1.5657376512393641-0.2939057253706998j)	0.5067784086587396
52.6	8.799449371863007	(0.5350471897027947+0.09425195030808342j)	0.5067784086587397
52.800000000000004	8.467195443563499	(2.124116751356258+2.8083276490869515j)	0.5067784086587399
53.0	8.83764064965532	(-0.30012533296207733+2.6291263208168574j)	0.5067784086587399
53.2	8.88797682422879	(2.35145402660854-0.4056895931667235j)	0.5067784086587401
53.400000000000006	8.77448430074084	(2.0447937106554286-0.19195326872978885j)	0.5067784086587402
53.6	8.51122348599228	(0.9889704942203494-0.3505780700921262j)	0.5067784086587405
53.800000000000004	8.597991712487591	(-2.980469858015654+0.7778328495729904j)	0.5067784086587406
54.0	8.75329157994388	(0.6497117269014085+1.6451960924603735j)	0.5067784086587408
54.2	8.68991099579743	(1.3586425904274255-2.1377146828646056j)	0.5067784086587409
54.400000000000006	8.59122362593189	(0.09744913960572933-1.4137778417031497j)	0.5067784086587411
54.6	9.165329130253212	(-3.631584951478703+6.027825487128174j)	0.5067784086587411
54.800000000000004	9.08553728381714	(-3.8115453401943484+2.3730206577981074j)	0.5067784086587414
55.0	8.7408452635534	(2.826520292002752-0.12037312920644855j)	0.5067784086587416
55.2	8.520893642413906	(-0.30751144006940495+0.06818801025779163j)	0.5067784086587417
55.400000000000006	8.729524342982641	(1.3801847084147334+0.1377085486545473j)	0.5067784086587419
55.6	8.472347897799175	(-1.1834033042051608-0.6235160898157871j)	0.506778408658742
55.800000000000004	8.772290506452393	(1.1349998659337375-0.0339851233972329j)	0.5067784086587421
56.0	8.73378196521815	(3.145871097545338+0.33919070914219446j)	0.5067784086587425
56.2	9.028033367790172	(-3.0986088371832174-1.0014076338611166j)	0.5067784086587426
56.400000000000006	8.717663652336343	(-2.3358422306776467+1.3002406159993403j)	0.5067784086587427
56.6	9.111701377876615	(1.4147881527609143+0.01147681250558913j)	0.5067784086587428
56.800000000000004	8.557471801589644	(1.185774398333926+0.41244672391777826j)	0.506778408658743
57.0	8.875242855947837	(1.386556934366521+0.6799346585412572j)	0.5067784086587431
57.2	8.986427014902159	(0.4637831623308479-0.3648065620034373j)	0.5067784086587432
57.400000000000006	8.506014198233212	(-1.5355386797557067-0.0152146103285358j)	0.5067784086587434
57.6	9.161885797979831	(-1.1603416528999793-1.8197263066802731j)	0.5067784086587436
57.800000000000004	8.634689612679006	(1.2876611339939983+0.06287061768710894j)	0.5067784086587437
58.0	9.021083917232204	(-1.9591448969558287+0.5654989247509762j)	0.5067784086587438
58.2	8.795901447700643	(2.052968136049751+0.8798961014492102j)	0.5067784086587439
58.400000000000006	8.449635349791873	(1.4134043728646695+2.4147185811048963j)	0.5067784086587441
58.6	9.239927579611365	(-0.6471125556634765+0.0021799276738638813j)	0.5067784086587442
58.800000000000004	8.718990083899312	(-0.5468222604672376+3.7658426242019423j)	0.5067784086587445
59.0	8.416679270636562	(1.0306386582006695-1.2011974387764102j)	0.5067784086587446
59.2	8.73759136380434	(-1.254362768002824-0.6995431555151248j)	0.5067784086587448
59.400000000000006	8.505949067835546	(-0.88021350247639-1.7359568713849463j)	0.506778408658745
59.6	8.723810306070716	(-0.15477168148556875-0.06442918348481277j)	0.5067784086587451
59.800000000000004	8.775812250250375	(2.367135500055+2.772412937397757j)	0.5067784086587453
60.0	9.130473807760376	(1.239864331261685+0.30719078029307667j)	0.5067784086587455
